index,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,island_Biscoe,island_Dream,island_Torgersen
0,0,37.6,19.1,194.0,3750.0,0,1,0,0
1,1,46.2,17.5,187.0,3650.0,1,0,1,0
2,0,39.7,18.9,184.0,3550.0,0,1,0,0
3,0,35.7,18.0,202.0,3550.0,1,0,1,0
4,0,45.8,18.9,197.0,4150.0,0,0,0,1
5,0,41.5,18.5,201.0,4000.0,0,0,1,0
6,0,37.9,18.6,193.0,2925.0,1,1,0,0
7,0,40.1,18.9,188.0,4300.0,0,1,0,0
8,2,50.0,16.3,230.0,5700.0,0,1,0,0
9,1,47.5,16.8,199.0,3900.0,1,0,1,0
10,0,39.2,19.6,195.0,4675.0,0,0,0,1
11,2,45.2,15.8,215.0,5300.0,0,1,0,0
12,0,39.6,17.2,196.0,3550.0,1,0,0,1
13,1,45.5,17.0,196.0,3500.0,1,0,1,0
14,1,51.3,18.2,197.0,3750.0,0,0,1,0
15,1,52.8,20.0,205.0,4550.0,0,0,1,0
16,2,49.6,16.0,225.0,5700.0,0,1,0,0
17,2,46.5,14.5,213.0,4400.0,1,1,0,0
18,2,55.9,17.0,228.0,5600.0,0,1,0,0
19,0,42.8,18.5,195.0,4250.0,0,0,0,1
20,0,32.1,15.5,188.0,3050.0,1,0,1,0
21,2,48.2,15.6,221.0,5100.0,0,1,0,0
22,0,38.8,20.0,190.0,3950.0,0,0,1,0
23,1,46.1,18.2,178.0,3250.0,1,0,1,0
24,0,35.6,17.5,191.0,3175.0,1,0,1,0
25,1,50.0,19.5,196.0,3900.0,0,0,1,0
26,2,45.2,16.4,223.0,5950.0,0,1,0,0
27,0,35.7,17.0,189.0,3350.0,1,0,0,1
28,2,45.1,14.5,207.0,5050.0,1,1,0,0
29,1,46.4,17.8,191.0,3700.0,1,0,1,0
30,2,50.5,15.9,225.0,5400.0,0,1,0,0
31,1,45.9,17.1,190.0,3575.0,1,0,1,0
32,1,46.5,17.9,192.0,3500.0,1,0,1,0
33,0,36.8,18.5,193.0,3500.0,1,0,1,0
34,2,46.2,14.5,209.0,4800.0,1,1,0,0
35,1,50.2,18.8,202.0,3800.0,0,0,1,0
36,1,51.3,19.2,193.0,3650.0,0,0,1,0
37,0,34.6,17.2,189.0,3200.0,1,0,0,1
38,0,40.8,18.9,208.0,4300.0,0,0,1,0
39,0,35.7,16.9,185.0,3150.0,1,1,0,0
40,0,38.3,19.2,189.0,3950.0,0,0,1,0
41,0,35.9,19.2,189.0,3800.0,1,1,0,0
42,0,35.2,15.9,186.0,3050.0,1,0,0,1
43,2,44.0,13.6,208.0,4350.0,1,1,0,0
44,2,43.8,13.9,208.0,4300.0,1,1,0,0
45,2,49.1,14.5,212.0,4625.0,1,1,0,0
46,0,41.1,18.2,192.0,4050.0,0,1,0,0
47,2,51.3,14.2,218.0,5300.0,0,1,0,0
48,0,36.5,16.6,181.0,2850.0,1,1,0,0
49,0,34.6,21.1,198.0,4400.0,0,0,0,1
50,0,39.6,17.7,186.0,3500.0,1,1,0,0
51,0,38.2,20.0,190.0,3900.0,0,1,0,0
52,1,45.6,19.4,194.0,3525.0,1,0,1,0
53,0,38.9,18.8,190.0,3600.0,1,0,1,0
54,2,52.1,17.0,230.0,5550.0,0,1,0,0
55,2,49.0,16.1,216.0,5550.0,0,1,0,0
56,0,39.8,19.1,184.0,4650.0,0,0,1,0
57,0,34.5,18.1,187.0,2900.0,1,1,0,0
58,2,48.4,14.4,203.0,4625.0,1,1,0,0
59,0,36.9,18.6,189.0,3500.0,1,0,1,0
60,0,37.6,17.0,185.0,3600.0,1,1,0,0
61,1,54.2,20.8,201.0,4300.0,0,0,1,0
62,1,45.7,17.0,195.0,3650.0,1,0,1,0
63,0,43.1,19.2,197.0,3500.0,0,0,0,1
64,2,42.0,13.5,210.0,4150.0,1,1,0,0
65,0,35.0,17.9,192.0,3725.0,1,1,0,0
66,2,46.3,15.8,215.0,5050.0,0,1,0,0
67,0,36.4,17.1,184.0,2850.0,1,1,0,0
68,2,49.9,16.1,213.0,5400.0,0,1,0,0
69,2,42.8,14.2,209.0,4700.0,1,1,0,0
70,2,46.9,14.6,222.0,4875.0,1,1,0,0
71,0,37.3,20.5,199.0,3775.0,0,0,0,1
72,0,41.4,18.5,202.0,3875.0,0,0,0,1
73,0,36.0,18.5,186.0,3100.0,1,0,1,0
74,2,47.2,15.5,215.0,4975.0,1,1,0,0
75,1,45.2,17.8,198.0,3950.0,1,0,1,0
76,0,38.1,17.0,181.0,3175.0,1,1,0,0
77,2,47.3,15.3,222.0,5250.0,0,1,0,0
78,2,46.5,14.4,217.0,4900.0,1,1,0,0
79,0,38.9,17.8,181.0,3625.0,1,0,0,1
80,2,48.7,15.7,208.0,5350.0,0,1,0,0
81,2,43.5,14.2,220.0,4700.0,1,1,0,0
82,2,45.1,14.4,210.0,4400.0,1,1,0,0
83,2,50.8,17.3,228.0,5600.0,0,1,0,0
84,2,42.6,13.7,213.0,4950.0,1,1,0,0
85,0,39.7,18.4,190.0,3900.0,0,0,0,1
86,2,43.2,14.5,208.0,4450.0,1,1,0,0
87,1,46.6,17.8,193.0,3800.0,1,0,1,0
88,2,45.0,15.4,220.0,5050.0,0,1,0,0
89,0,38.1,18.6,190.0,3700.0,1,0,1,0
90,0,39.2,21.1,196.0,4150.0,0,0,1,0
91,2,50.7,15.0,223.0,5550.0,0,1,0,0
92,2,49.4,15.8,216.0,4925.0,0,1,0,0
93,0,41.1,18.6,189.0,3325.0,0,0,0,1
94,2,48.7,14.1,210.0,4450.0,1,1,0,0
95,0,41.4,18.6,191.0,3700.0,0,1,0,0
96,0,39.2,18.6,190.0,4250.0,0,0,1,0
97,1,50.9,19.1,196.0,3550.0,0,0,1,0
98,2,49.5,16.1,224.0,5650.0,0,1,0,0
99,0,42.3,21.2,191.0,4150.0,0,0,1,0
100,2,50.4,15.3,224.0,5550.0,0,1,0,0
101,1,46.7,17.9,195.0,3300.0,1,0,1,0
102,1,43.2,16.6,187.0,2900.0,1,0,1,0
103,0,42.0,20.2,190.0,4250.0,0,0,0,1
104,2,47.3,13.8,216.0,4725.0,0,1,0,0
105,2,49.3,15.7,217.0,5850.0,0,1,0,0
106,0,40.2,17.0,176.0,3450.0,1,0,0,1
107,0,34.1,18.1,193.0,3475.0,0,0,0,1
108,1,42.5,16.7,187.0,3350.0,1,0,1,0
109,0,41.1,18.1,205.0,4300.0,0,0,1,0
110,2,49.5,16.2,229.0,5800.0,0,1,0,0
111,1,51.4,19.0,201.0,3950.0,0,0,1,0
112,0,44.1,18.0,210.0,4000.0,0,0,0,1
113,0,37.7,18.7,180.0,3600.0,0,1,0,0
114,0,39.7,17.9,193.0,4250.0,0,0,1,0
115,0,37.8,20.0,190.0,4250.0,0,1,0,0
116,2,45.4,14.6,211.0,4800.0,1,1,0,0
117,2,48.5,14.1,220.0,5300.0,0,1,0,0
118,0,39.5,17.4,186.0,3800.0,1,0,0,1
119,2,47.2,13.7,214.0,4925.0,1,1,0,0
120,1,48.5,17.5,191.0,3400.0,0,0,1,0
121,0,34.0,17.1,185.0,3400.0,1,0,1,0
122,0,37.7,16.0,183.0,3075.0,1,1,0,0
123,0,37.6,19.3,181.0,3300.0,1,0,1,0
124,2,47.5,15.0,218.0,4950.0,1,1,0,0
125,1,49.8,17.3,198.0,3675.0,1,0,1,0
126,1,49.2,18.2,195.0,4400.0,0,0,1,0
127,2,49.1,14.8,220.0,5150.0,1,1,0,0
128,1,46.9,16.6,192.0,2700.0,1,0,1,0
129,0,42.0,19.5,200.0,4050.0,0,1,0,0
130,2,45.5,14.5,212.0,4750.0,1,1,0,0
131,0,37.0,16.9,185.0,3000.0,1,0,1,0
132,0,34.4,18.4,184.0,3325.0,1,0,0,1
133,2,40.9,13.7,214.0,4650.0,1,1,0,0
134,2,48.7,15.1,222.0,5350.0,0,1,0,0
135,0,40.2,20.1,200.0,3975.0,0,0,1,0
136,0,36.2,16.1,187.0,3550.0,1,0,0,1
137,2,42.7,13.7,208.0,3950.0,1,1,0,0
138,2,48.8,16.2,222.0,6000.0,0,1,0,0
139,0,40.3,18.0,195.0,3250.0,1,0,0,1
140,1,50.9,17.9,196.0,3675.0,1,0,1,0
141,0,41.0,20.0,203.0,4725.0,0,1,0,0
142,1,49.5,19.0,200.0,3800.0,0,0,1,0
143,1,48.1,16.4,199.0,3325.0,1,0,1,0
144,2,46.2,14.4,214.0,4650.0,0,1,0,0
145,0,37.3,17.8,191.0,3350.0,1,0,1,0
146,2,45.2,14.8,212.0,5200.0,1,1,0,0
147,0,39.6,18.1,186.0,4450.0,0,0,1,0
148,2,43.3,13.4,209.0,4400.0,1,1,0,0
149,0,38.5,17.9,190.0,3325.0,1,0,0,1
150,2,47.7,15.0,216.0,4750.0,1,1,0,0
151,1,47.0,17.3,185.0,3700.0,1,0,1,0
152,2,46.2,14.1,217.0,4375.0,1,1,0,0
153,2,44.4,17.3,219.0,5250.0,0,1,0,0
154,2,55.1,16.0,230.0,5850.0,0,1,0,0
155,1,45.2,16.6,191.0,3250.0,1,0,1,0
156,0,40.3,18.5,196.0,4350.0,0,0,1,0
157,1,51.5,18.7,187.0,3250.0,0,0,1,0
158,1,50.5,18.4,200.0,3400.0,1,0,1,0
159,0,38.6,17.0,188.0,2900.0,1,0,0,1
160,2,46.1,13.2,211.0,4500.0,1,1,0,0
161,0,37.8,18.1,193.0,3750.0,0,0,1,0
162,1,45.7,17.3,193.0,3600.0,1,0,1,0
163,0,42.9,17.6,196.0,4700.0,0,0,0,1
164,2,48.4,16.3,220.0,5400.0,0,1,0,0
165,0,36.7,19.3,193.0,3450.0,1,0,0,1
166,0,36.2,17.2,187.0,3150.0,1,0,0,1
167,0,37.5,18.9,179.0,2975.0,0,0,1,0
168,0,36.6,17.8,185.0,3700.0,1,0,0,1
169,2,49.6,15.0,216.0,4750.0,0,1,0,0
170,2,46.4,15.0,216.0,4700.0,1,1,0,0
